real_1,div_1,real_2,div_2,real_3,div_3,real_4,div_4,real_5,div_5,real_6,div_6,real_7,div_7,real_8,div_8,real_9,div_9,real_10,div_10,real_11,div_11,real_12,div_12,comments,knowGAN,sg2_3_real,sg3_2_real,sg2_3_div,sg3_2_div,sg2_xl_real,sgxl_2_real,sg2_xl_div,sgxl_2_div,sg3_xl_real,sgxl_3_real,sg3_xl_div,sgxl_3_div
SG3,SG2,SGXL,SGXL,SG3,SGXL,SG3,SGXL,SG2,SG2,SG2,SG2,SG2,SG2,SG2,SGXL,SG2,SG2,SG3,SG3,SG2,SGXL,SG3,SGXL,"Facial alignment, blurs in the edges of faces",No,3,1,4,0,3,1,1,3,4,0,1,3
SG2,SG2,SG2,SGXL,SGXL,SGXL,SG3,SG3,SG2,SG2,SG2,SG2,SG3,SG2,SG2,SG2,SG2,SG2,SGXL,SG3,SGXL,SG2,SG3,SG3,Face proportions,No,3,1,4,0,3,1,3,1,2,2,3,1
SG2,SG2,SG2,SG2,SGXL,SGXL,SGXL,SGXL,SG2,SG2,SG2,SG2,SG2,SG2,SG2,SG2,SG2,SG2,SG3,SG3,SG2,SG2,SG3,SG3,i used shadows a fair number of times,Yes,4,0,4,0,4,0,4,0,2,2,2,2
SG3,SG2,SG2,SGXL,SGXL,SGXL,SGXL,SG3,SGXL,SGXL,SG2,SG2,SG2,SG2,SGXL,SGXL,SG2,SG2,SGXL,SG3,SG2,SG2,SG3,SG3, ,Yes,3,1,4,0,2,2,1,3,1,3,3,1
SG2,SG2,SG2,SGXL,SG3,SG3,SGXL,SGXL,SGXL,SGXL,SG2,SG2,SG3,SG2,SG2,SG2,SG2,SG2,SGXL,SG3,SG2,SGXL,SG3,SG3,the light reflection on the face; background being blurry; less contrast in the face and background,Yes,3,1,4,0,3,1,1,3,2,2,3,1
SG2,SG2,SGXL,SG2,SGXL,SGXL,SGXL,SG3,SG2,SG2,SG2,SG2,SG2,SG2,SGXL,SG2,SG3,SG2,SG3,SG3,SG2,SG2,SG3,SG3,Flaws in the image. Distortions. Background. ,No,3,1,4,0,2,2,4,0,2,2,3,1
SG2,SG2,SG2,SG2,SGXL,SG3,SGXL,SGXL,SGXL,SG2,SG2,SG2,SG2,SG2,SG2,SG2,SG3,SG2,SG3,SG3,SG2,SG2,SG3,SG3,"Artifacts in images, You could see where it had tried to integrate a microphone into the cheek of one. White male, set 1. A few faces were too symmetrical, Obvious bias towards Jon Benay Ramsey in blond girl image set 1.  Nice work on the majority though!!",Yes,3,1,4,0,3,1,4,0,2,2,3,1
SG3,SG2,SG2,SGXL,SGXL,SGXL,SGXL,SGXL,SG2,SG2,SG2,SG2,SG2,SG2,SG2,SG2,SG2,SG2,SGXL,SG3,SG2,SG2,SGXL,SGXL,Happy to help,Yes,3,1,4,0,4,0,3,1,0,4,1,3
SG3,SG2,SGXL,SG2,SGXL,SG3,SGXL,SG3,SG2,SG2,SG2,SG2,SG2,SG2,SG2,SG2,SG2,SG2,SGXL,SG3,SGXL,SG2,SGXL,SG3,Row 2 is least realistic mainly due to faces of most kids. Some faces of the children seems to be on adult bodies. Most adults look fine.,No,3,1,4,0,2,2,4,0,0,4,4,0
SG2,SG2,SG2,SG2,SGXL,SGXL,SGXL,SG3,SGXL,SGXL,SG3,SG2,SG3,SG2,SG2,SGXL,SG3,SG2,SG3,SG3,SGXL,SG2,SG3,SGXL,When it seems like the picture have been edited through app.,No,1,3,4,0,2,2,2,2,2,2,2,2
SG2,SG2,SGXL,SGXL,SGXL,SG3,SG3,SG3,SG2,SG2,SG2,SG2,SG2,SG2,SGXL,SGXL,SG3,SG2,SG3,SG3,SG2,SG2,SG3,SG3,Hair and wrinkles ,No,3,1,4,0,2,2,2,2,3,1,4,0
